	243005
fawn	127805
Egypt-Libya	93153
nunnery	120349
strong-dollar	69269
AsiaNet	227403
land-for-peace	16343
Pronk	45994
woods	15079
clotted	227940
Erdut	38720
Nampo	48564
woody	121651
trawling	54169
comically	158721
Simko	143353
Prone	158941
regularize	103433
Mideast-US-Mubarak	241235
canes	57030
heavily-fortified	59196
Fulda	80269
Mechouar	241675
Hydro-Electric	148349
wrong-footed	50509
caned	42419
Gravesend	88173
Roelle	142292
rumbustious	137393
Retreat	180574
Euro	3167
Issaad	222162
1,803	223236
Hoeger	166420
Valli	53979
Valle	34665
Secularism	101062
sodomisation	241603
forms-although	239017
pigment	109673
Vikrant	121541
Hikone	224924
Mizell	98193
ever-improving	175571
Vally	204881
Alya	130808
body-guards	197931
Morten	36260
PORTLAND	33838
bringing	2030
Valls	48694
75-69-72	170694
wooded	18163
75-69-71	144835
grueling	33260
118.68-71	241642
wooden	9075
Saco	221894
Miert	20523
wednesday	73685
Sack	94340
Chugainov	176309
Saint-Gall	96963
chameleons	92124
India-Pakistan-landmines	238853
5-385	176671
6-0-46-1	202633
Miera	177740
Portugal-vote	64233
immunities	65207
Maydell	57914
all-news	52218
Santillana	181176
Al-Quds	22625
Pfizer-Pharmacia	124173
27.	40810
270	6793
271	16787
272	15476
273	17071
274	16340
275	11398
276	15155
277	15290
278	15870
279	15107
Basle-based	208149
USAFE	209082
dialogs	237070
defenses	11176
warmongering	76617
outfielders	87296
College	10541
pawed	179038
Naudet	140483
1-3/4x3-1/2	58736
Transat	163596
1-3/4x3-1/4	40760
mailings	122951
Liquefaction	101803
end-January	84763
affiliates	16474
Avturkhanov	32576
27s	59953
65.73	187997
Subcontinent	216850
Shigetoshi	128413
affiliated	10940
small-screen	227085
65.78	170486
Manger	31432
Bereuter	86445
kids	9331
uplifting	58703
landrovers	184627
MATCHES	60088
deferring	41838
Feathers	171730
Handicrafts	219137
controversy	3384
Keillor	203069
Sokolniki	176744
Shelbourne	107992
neurologist	50850
43rd-minute	135490
electric-power	222077
Brondy	121556
OPAL	188557
rebel	620
lyssavirus	100336
topography	67288
Ragheb	20310
deVilliers	106401
161.4	185188
Akhigbe	96779
cranium	208226
Serbian-language	236353
161.7	197898
unsinkable	94851
Pukhov	119655
non-drug	188900
Halong	45161
dng	193568
Galarraga	187540
Tambari-Uthman	240374
Surbekti	241491
ZIS	211174
Leilani	75909
Khorram	79129
Vernon	14499
mystic	31165
now-traditional	217730
al-Milad	216075
84.54	209293
Lofthouse	182477
Rimington	116311
populations	8902
down-to-earth	47394
Chulho	178614
meteorologist	38589
Uragan	101825
Gaspart	43576
expeditionary	38824
Sindona	228808
Exchance	227157
1300-1530	98104
pre-June	141488
Jockey-Club	187153
Karonga	238041
Pedone	125785
highly-profitable	109481
enflamed	95478
Indigo	163916
ante-post	231709
non-alignment	69019
Vietel	215467
Lebanon-first	46196
Yasith	178862
Cheiry	33854
Lithography	225754
Successor	130726
represssion	167478
Peru-hostages	20024
Bodjnurd	237447
R.G.	43644
390.00	196521
titanium	32094
Glostrup	196623
Turiel	206737
Saengpattaranetr	173560
Oberon	183787
Oberoi	22075
SCORERS	54590
shirked	92435
Apapa	113214
Gaspare	223751
Sunanda	218620
Nussbaum	52326
Niranjan	102623
Shpigun	139278
119.63	240810
119.61	137403
119.60	140105
Mihail	106992
119.64	148539
207.75	204074
archipelagic	101935
Correspondent	114728
Bates	19277
Italy-France-tunnel	240075
343,000	144664
assimilated	52123
Hyung-taik	140395
TERM	197162
Goubadia	166662
dinosaurs	30043
wrong	2681
Fogg	104903
sentencing	8527
Baten	206516
Fogo	114429
Fogh	19583
Kampung	82094
18s	45834
68-69-74	200535
Off-spinners	177069
68-69-70	106887
68-69-71	106480
68-69-72	112360
68-69-73	182178
2.3243	242358
Jussara	158815
Al-Muhajir	134469
kiloton	85304
Anjali	59470
Kawabuchi	61406
politically-crucial	144398
Shimon	2722
Ndombasi	193048
disengaging	76421
Durdin	147200
119.00-02	211713
welcomed	1857
concurrence	71453
stoicism	117371
Donnington	195539
Kakimoto	191864
alway	86856
Rated	106458
Soviet-trained	108874
activating	54842
welcomes	7269
fir	64159
ex-dividend	34680
His	749
Hit	42349
fit	3809
benign	21962
Schroeder	3799
screaming	13727
fix	7408
Rubino	110627
Nido	203751
fib	154153
then-paramount	242495
Second-placed	32435
fig	57907
fie	233147
waiter-turned-aspiring-actor	211588
Svedala	114037
fin	38473
Him	62310
Hin	51778
ODESSA	194193
Ferrigato	82468
ached	185078
Alok	47777
